name,branche,beschreibung,adresse,id
safehands GmbH,Projektleitung / Management auf Zeit,Flexible und  professionelle Managementkompetenzen als Entlastung für Sie und Ihr Team,"Hungerbergstrasse 35
5000 Aarau",3599
axelion AG,EDV,It works.,"Neumattstrasse 2
5000 Aarau",3600
Wehrli Weinbau AG,Weine und Spirituosen,Die Weinfamilie aus dem Aargau,"Oberdorfstrasse 8
5024 Küttigen",3602
KBT Treuhand AG Aargau,Treuhand,Neue Niederlassung der KBT Holding,"Bachmattweg 18
5000 Aarau",3603
Rohrputz-Loriol AG Kanalservice,Kanalservice,"Rohrputz-Loriol reinigt, spült, saugt, entstopft im Haus und rund ums Haus","Industriestrasse 48
4657 Dulliken",3604
CONCORDIA,Versicherung,"CONCORDIA, Dir vertraue ich","Buchserstrasse 12
5001 Aarau",3605
wisol technologie GmbH,Maschinensteuerungen,Entwicklung und Wartung von Steuerungen im industriellen Umfeld,"Industriestrasse 10
5036 Oberentfelden",3606
Laufwerk GmbH,Gesundheit,Fachgeschäft für technische Orthopädie und Gesundheit.,"Siebenmatten 1b
5032 Aarau Rohr",3607
CAP-Kommunikation,Coaching Persönlichkeitsentwicklung,Inhouse-Mentalseminare / Hypnosecoaching / Mentalcoaching / Tiefenkommunikation,"Rain 26
5000 Aarau",3608
WEBSAMURAI AG,Internet,Die WEBSAMURAI AG ist eine junge und innovative Webagentur mit Sitz in Aarau,"Schachenallee 29
5000 Aarau",3610
Engel & Völkers,Immobilien,Immobilienberatung und Vermarktung,"Kronengasse 2
5000 Aarau",3611
Fuchsgroup Consulting AG,EDV,"Die Fuchsgroup Consulting AG ist ein Dienstleistungsunternehmen für Beratung, Konzeption und Schulung rund um ihre Geschäftsprozesse.","Bahnhofstrasse 67
5000 Aarau",3618
aarau info,Standortmarketing Tourismus,Tourismusbüro,"Metzgergasse 2
5000 Aarau",3619
GRIBI Bewirtschaftung AG,Immobilien,Verkauf/Erstvermietung/Bewirtschaftung/Baumanagement,"Buchserstrasse 3
5000 Aarau",3620
Stephan Kohler Managementberatung,Unternehmensberatung,,"Philosophenweg 42 A
5000 Aarau",3630
Apleona Real Estate AG,Immobilien,,"Rain 53
Postfach
5001 Aarau",3631
Livesystems AG,Medien,passengertv,"Rüttistrasse 26
8952 Schlieren",3632
Kairos BCT,Coaching Persönlichkeitsentwicklung,,"Metzgergasse 8
5000 Aarau",3633
"Thomas Käser, Rechtsanwalt und Notar",Advokatur- und Notariatsbüro,Umfassende Dienstleistungen und massgeschneiderte Lösungen in den Bereichen Advokatur und Notariat.,"Zelglistrasse 15
Postfach
5001 Aarau",3635
Reaktor AG,Kommunikation,,"Laurenzenvorstadt 25
5000 Aarau",3636
Prädikat GmbH,Kommunikation,Lead-Agentur,"Laurenzentorgasse 16
Die Agentur für nachhaltige Kommunikation.
5000 Aarau",3637
"Swiss Life, Generalagentur Aarau, Markus Rosenberg",Versicherung,Versicherungsgesellschaft,"Hintere Bahnhofstrasse 85
Versicherungsgesellschaft
5000 Aarau",3639
REIST PARTNER AG,Treuhand,,"Schiffländestrasse 27 A
5000 Aarau",3640
flexMedics AG,Personal,Personal im Gesundheitswesen,"Bahnhofstrasse 17
5000 Aarau",3643
EntwicklungsART GmbH,Unternehmensberatung,Beratung von Firmen in unterschiedlichen Branchen und Grössen,"Mühlemattstrasse 42
5000 Aarau",3644
Restaurant Beluga AG,Gastgewerbe,,"Vordere Vorstadt 17
5000 Aarau",3648
acustix - Das Leben hören.,Gesundheit,Der Hörgeräteakustiker mit der persönlichen Beratung,"Bibersteinerstrasse 4
Postfach 34
5022 Rombach",3649
Helvetia Versicherungen Generalagentur Aarau,Versicherung,,"Mitteldorfstrasse 37
Roger Seiger
5033 Buchs",3650
Witzig The Office Company AG,Büroeinrichtungen,,"Rohrerstrasse 78
5000 Aarau",3651
hilfiker & partner ag,Versicherung,,"Zollrain 14
5001 Aarau",3652
Gastroenterologie Aarau AG,Gesundheit,,"Buchserstrasse 18
Dr. med. Florian Riniker
5000 Aarau",3653
Aconum GmbH,Unternehmensberatung,,"Siebenmatten 24
5032 Aarau Rohr",3654
ImUmReinigung Susanne Kaufmann,Dienstleistungen,"Reinigung für Gewerbe und Privat, Hauswartung, Bügelservice, Haushaltcoaching,","Siebenmatten 69
5032 Aarau Rohr",3656
KMU Personal AG Aarau,Personal,,"Bahnhofstrasse 33
5001 Aarau",3659
Dorfgarage Daniel Imfeld AG,Automobile,Die Garage Ihres Vertrauens!,"Gösgerstrasse 29
5015 Erlinsbach",3660
ACW AG Aarauer Carrosserie Werke,Automobile,,"Wässermattstrasse 12
5004 Aarau",3661
mobile it solutions gmbh,Computer,Informatik und EDV- Dienstleistungen,"Rohrerstrasse 102
5000 Aarau",3663
Otto M. Meier,Versicherung,Versicherungs- und Vorsorgelösungen,"Steingasse 9
Versicherungs- und Vorsorgelösungen
5102 Rupperswil",3664
second opinion gmbh,Kommunikation,Marketing & Kommunikation,"Hallwylstrasse 12
c/o Peter E. Renggli
5000 Aarau",3665
Jürg Willi & Partner AG,,,"Laurenzenvorstadt 21
5000 Aarau",3666
Immobilia 4 AG,Immobilien,"Verkauf, Schätzung und Beratung für Immobilien","Zwischen den Toren 4
5000 Aarau",3667
wirkungs-Stark,Kommunikation,Grafik & Konzept,"Schachenallee 29
5000 Aarau",3670
Hotel Kettenbrücke AG,Gastgewerbe,Hotellerie,"Zollrain 16
5000 Aarau",3671
Gasser Consulting AG,Beratungsstelle,"Scheidung, Trennung, Arbeit, Erbschaft und aussergerichtliche Streitschlichtung, Mediation","Kelleräckerstr. 14
Zweitbüro
8967 Widen",3672
Previon Plus AG,Internet,"Previon ist eine Agentur, die Kreativität, Technologie und Daten vereint.","Aeschbachweg 12
5000 Aarau",3673
"Lotus Reinigung, Alan Arkula",,Gebäudereinigung & Hauswartung,"Effingerweg 10
5000 Aarau",3677
Michael Schibli,Treuhand,Treuhand / Immobilien,"Hombergstrasse 2
5000 Aarau",3678
Welte Treuhand AG,Treuhand,,"Schiffländestrasse 27A
Postfach 4323
5001 Aarau",3679
small Foot AG - Die Kinderkrippe,Dienstleistungen,,"Schachenallee 31
5000 Aarau",3680
MANPOWER,Personal,,"Kasinostrasse 25
5000 Aarau",3681
Nova Tours AG,Reisen,,"Kirchgasse 1
5000 Aarau",3682
Bolliger Neukom Treuhand,Immobilien,,"Weltistrasse 9
Postfach 2417
5001 Aarau",3683
ESL – Sprachaufenthalte,Reisen,Kurse für mehr als 20 Fremdsprachen in über 250 Destinationen,"Igelweid 22
5000 Aarau",3685
MAMO Verkehrsdienst GmbH,Sicherheitsdienst,Verkehrsdienst - Kontrolle ruhender Verkehr - Schwertransportbegleitung,"Neumattstrasse 29
Postfach
5001 Aarau",3686
Fasler Treuhand und Revisionen GmbH,Treuhand,,"Bleichemattstrasse 11
5000 Aarau",3687
PMI.AG,,Informatik und Kommunikationstechnologie,"Bleichemattstrasse 2
5000 Aarau",3689
buntBund Floristik GmbH,Blumen,,"Rain 15
5000 Aarau",3690
Andreas Marti & Partner Architekten AG,Architektur,,"Rathausgasse 29
5000 Aarau",3691
Psychologische Laufbahnberatung Aarau,Beratungsstelle,"Berufs- und Laufbahnberatung für alle Altersgruppen, Bewerbungscoaching","Laurenzenvorstadt 89
5000 Aarau",3692
Rechtsanwälte und Notariat leiser.meyer.müller,Advokatur- und Notariatsbüro,,"Rathausgasse 9
Advokatur und Notariat
5000 Aarau",3693
90 Grad Café Bar,Gastgewerbe,,"Bahnhofstrasse 35
5000 Aarau",3694
planerkiste architekturplanungen,Architektur,,"Müliweg 3
5033 Buchs",3695
Licht & Wohnen - Daniel Kuhn,Innenarchitektur,Lichtlösungen aus einer Hand,"Tramstrasse 59
Lichtberatung - Planung - Realisation
5034 Suhr",3696
Wilhelm + Wahlen Bauingenieure AG,Ingenieurbüro,"Bauingenieurbüro mit Niederlassungen in Aarau und Zofingen für Hoch-, Tief- und Brückenbau, Erdbebeningenieurwesen und Bauwerkserhaltung","Kasinostrasse 15
5000 Aarau",3697
RE/MAX,Immobilien,,"Bahnhofplatz 7
5400 Baden",3698
SCHIBLI & PARTNER Advokatur und Notariat AG,Rechtsanwalt,"Wir beraten Sie in allen Bereichen des Rechts, wenn nötig mit Unterstützung unseres Notars und unserer Treuhänder!","Bahnhofstrasse 57
Postfach
5001 Aarau 1",3699
ISG Personalmanagement (Schweiz) GmbH,Personal,Internationaler Komplettanbieter für Personaldienstleistungen,"Buchserstrasse 12
5000 Aarau",3700
academia language school,Aus- und Weiterbildung,Sprach- und Lernzentrum für Firmen wie Privatkunden,"Bahnhofstrasse 53
5000 Aarau",3701
Kantonsspital Aarau AG,Gesundheit,,"Tellstrasse 25
5001 Aarau",3703
Schäfer Zimmerei AG,Baugewerbe,,"Laurenzenvorstadt 61
5000 Aarau",3704
aaretax Treuhand AG,Treuhand,Treuhandbüro,"Rain 63
5000 Aarau",3705
Haworth Büromöbel GmbH,Büroeinrichtungen,Haworth ist mehr als ein Büromöbelhersteller,"Badstrasse 5
5737 Menziken",3706
Cellere Bau AG,Baugewerbe,,"Herzogstrasse 41
5001 Aarau",3707
HSO Wirtschafts- und Informatikschule,Aus- und Weiterbildung,,"Bahnhofplatz 4
5000 Aarau",3708
SIS Swiss International School,Aus- und Weiterbildung,"Private, bilinguale Tagesschule","Schachenstrasse 24
5012 Schönenwerd",3710
Babel Service,Dienstleistungen,,"Girixweg 45
Mechthild Babel
5000 Aarau",3712
Rückenwind KLG,,,"Asylstrasse 15
5000 Aarau",3713
rs academy gmbh,Schule,rs academy gmbh - the art of education!,"Lochweg 8c
5023 Biberstein",3714
Generali Versicherungen,Versicherung,,"Rain 35
5000 Aarau",3715
1a Gebäudemanagement André Buess,Dienstleistungen,"Hauswartung, technischer Unterhalt, Projekte","Pestalozzistrasse
45
5000 Aarau",3716
Maier Gastronomie GmbH | Restaurant EINSTEIN,Gastgewerbe,,"Bahnhofstrasse 43
5000 Aarau",3717
BERDAAG AG,Immobilien,"Wir vermieten, verwalten und verkaufen Immobilien seit 1998","Hallwylstrasse 9
5000 Aarau",3718
Serves AG,Treuhand,,"Gartenstrasse 28
5400 Baden",3720
Aarauer Coworking Genossenschaft,Dienstleistungen,Coworking Genossenschaft im Herzen von Aarau,"Bachstrasse 84
c/o immodea Daniel Hediger
5000 Aarau",3721
Caminada AG,Dienstleistungen,,"Florastrasse 10
Bestattungsinstitut
5000 Aarau",3722
RE/MAX your choice - Aarau,Immobilien,,"Aeschbachhalle 6
5000 Aarau",3723
Anwaltskanzlei Dr. Weltert,Advokatur- und Notariatsbüro,,"Bahnhofstrasse 10
5001 Aarau",3724
NEUE GALERIE 6 AARAU,Diverse,,"Milchgasse 35
5000 Aarau",3725
Porta AG,Ingenieurbüro,,"Buchserstrasse 12
5000 Aarau",3726
BCG Behmen Versicherungsbroking AG,Versicherung,,"Hintere Bahnhofstrasse 10
Jan van Rijs
5001 Aarau",3727
Ackermann+Wernli AG,Ingenieurbüro,Vermessungs- und Ingenieurbüro,"Bleichemattstrasse 43
5000 Aarau",3728
